NO.,MA101,PH100, BE10105,BE110, BE103, EC100, PH110, EC110, CS110
1,0,0,0,8,5,0,9,9,7
2,6,7,7,7,7,0,10,9,10
3,10,10,6,8,9,8,10,9,10
5,6,9,5,7,9,7,10,10,9
6,10,7,0,6,7,6,10,10,10
7,9,9,8,8,8,9,10,10,10
8,5,6,0,0,7,0,10,9,10
9,6,6,5,0,6,5,10,10,10
10,0,4,0,7,7,0,8,8,10
11,9,10,6,8,9,7,10,10,10
12,6,6,5,6,6,0,10,8,10
13,6,9,8,7,7,0,10,10,8
15,9,7,8,10,7,0,10,8,10
16,10,10,9,10,8,8,10,9,10
17,7,9,8,10,8,6,10,10,10
19,7,7,6,10,7,7,9,8,10
20,7,6,9,10,8,6,9,10,10
21,0,6,0,0,6,0,10,9,10
22,10,8,7,9,6,7,9,8,10
23,7,8,9,10,8,7,10,10,10
25,0,6,0,6,7,5,9,7,9
26,8,9,7,9,8,9,10,10,10
28,0,0,0,0,7,0,9,7,8
30,6,7,6,8,7,5,10,9,10
31,0,5,0,6,8,0,9,10,7
33,8,6,0,0,9,5,9,9,10
34,0,0,7,0,7,0,10,7,10
35,5,5,6,7,7,6,9,10,9
36,5,6,5,6,7,0,10,9,9
37,9,7,0,8,7,9,10,10,9
38,6,7,8,6,7,6,10,10,10
39,10,8,0,10,8,7,10,10,9
40,7,7,5,7,7,5,10,9,10
41,0,4,0,7,6,0,10,9,8
42,8,7,6,7,7,7,10,10,10
43,7,6,5,9,7,6,10,9,9
44,7,9,8,7,7,7,10,9,9
45,7,7,8,8,6,0,10,10,10
46,0,0,9,6,6,0,10,8,9
48,6,7,8,0,6,6,10,9,8
49,5,6,0,7,7,0,9,9,10
50,0,0,0,0,7,0,9,8,10
51,0,0,0,0,0,0,9,8,7
52,8,9,5,9,7,8,10,10,10
53,7,8,9,7,8,6,10,10,10
54,7,7,6,7,8,7,10,10,10
55,6,5,5,7,6,6,10,10,10
56,10,10,7,9,6,6,10,10,10
57,8,8,7,9,7,7,10,10,10
58,5,6,5,7,6,0,10,10,8
59,0,5,5,6,7,0,10,9,9
60,5,6,0,7,6,5,10,10,9
61,6,4,0,0,5,0,9,7,8
62,0,0,5,7,6,5,7,9,8
65,6,5,5,6,6,6,10,8,7
66,6,5,7,7,7,8,10,7,6
67,6,7,5,8,6,7,10,7,7
68,6,5,6,7,5,7,10,7,9
69,0,0,5,7,5,0,8,6,6
70,6,5,5,5,5,5,10,5,6
71,9,9,6,7,8,10,10,8,7
72,0,0,5,5,5,5,10,7,7
73,5,5,5,6,6,5,10,7,6
74,6,7,6,6,7,8,10,8,7
75,6,5,5,5,6,7,9,8,6
76,6,8,6,7,8,9,10,8,8
77,6,5,5,6,6,6,10,7,9
78,5,6,7,8,7,7,10,7,7
79,5,0,6,5,5,0,8,6,6
80,6,0,5,5,5,6,7,6,7
81,6,5,6,5,6,7,10,7,7
82,7,6,5,7,7,7,10,7,9
83,8,6,7,7,6,7,10,8,7
84,6,6,6,7,6,8,10,8,7
85,7,5,5,6,6,6,9,6,8
86,6,6,6,6,7,6,9,7,7
87,6,7,6,7,7,7,10,8,10
88,4,5,5,4,6,6,6,7,6
89,6,5,5,6,6,7,8,7,7
90,5,5,6,8,6,8,8,9,6
91,5,6,6,7,7,6,8,7,7
92,5,0,5,9,5,5,7,7,7
93,5,5,5,6,6,6,10,8,8
94,5,5,5,5,7,6,9,7,7
95,7,8,5,6,7,7,10,8,8
96,7,6,6,8,7,7,10,7,7
97,6,7,5,6,7,7,10,8,7
98,6,5,7,6,6,6,6,7,8
99,6,7,8,6,7,5,10,8,8
100,5,0,0,6,7,5,10,7,6
101,5,5,5,6,7,6,10,7,5
102,5,6,5,6,7,9,7,9,6
103,7,7,5,6,8,7,10,10,6
104,7,5,5,9,7,7,9,7,7
105,8,4,6,5,7,6,10,7,6
106,6,5,6,4,7,6,10,6,9
107,0,0,0,4,5,5,8,6,6
