NO.,CY100,BE100,EE100,CY110,EE110,MA102,BE102,CS100,CS120
1,5,0,5,10,9,6,0,0,7
2,6,5,5,10,9,8,6,7,7
3,9,5,9,10,9,10,7,7,10
5,7,5,10,10,10,8,10,6,8
6,7,6,9,10,10,8,7,6,10
7,7,7,8,10,8,10,7,10,10
8,6,5,5,10,10,0,6,0,6
9,6,0,6,10,9,7,7,6,7
10,5,5,4,10,10,5,8,0,5
11,7,7,9,10,10,9,8,7,10
12,5,0,0,10,9,5,0,0,7
13,7,5,6,10,10,7,6,7,8
15,6,5,8,10,10,10,6,8,8
16,7,7,8,10,10,10,7,8,10
17,0,5,6,10,10,9,7,10,10
18,0,0,0,10,7,0,6,0,7
19,6,6,7,10,9,8,9,5,8
20,6,5,7,10,10,7,0,6,9
21,0,0,8,10,10,7,7,0,7
22,6,6,7,10,8,8,8,7,10
23,7,6,7,10,8,9,8,7,10
25,5,5,5,10,8,6,7,5,10
26,6,7,7,10,10,10,8,7,9
28,5,0,0,10,7,0,7,4,7
30,5,7,8,10,10,7,8,6,10
31,0,5,0,10,10,5,9,0,10
32,0,0,0,10,7,0,6,0,5
33,7,6,6,10,9,6,7,7,10
35,6,0,6,10,9,9,9,5,10
36,6,0,5,10,10,6,7,0,7
37,9,7,8,10,10,7,9,7,10
38,5,5,6,10,9,6,7,7,10
39,6,7,7,10,10,8,9,6,10
40,6,5,5,10,9,5,8,0,7
41,0,5,5,10,10,6,8,0,6
42,7,6,7,10,10,6,10,6,10
43,6,7,8,10,10,7,9,5,10
44,6,6,8,10,10,8,8,6,10
45,5,5,5,10,10,6,9,6,10
46,0,0,0,10,10,5,7,0,10
48,5,5,5,10,10,5,8,0,5
49,0,6,6,10,10,5,8,7,10
50,5,0,0,10,9,0,8,0,5
51,0,5,4,10,9,5,6,0,6
52,6,6,9,10,10,9,9,7,7
53,6,7,8,10,10,8,8,7,10
54,7,5,8,10,10,7,8,7,10
55,0,5,6,10,10,5,7,6,10
56,7,6,9,10,10,9,7,7,10
57,6,6,10,10,10,9,9,7,10
58,5,6,7,10,10,8,9,5,7
59,0,0,0,10,6,5,6,0,10
60,0,0,5,10,10,7,7,5,5
61,4,0,0,10,7,7,6,0,7
62,5,0,0,10,10,5,7,5,6
65,5,6,6,10,9,6,6,5,5
66,6,6,6,8,7,8,7,6,9
67,6,5,7,10,7,10,7,5,6
68,5,5,4,10,7,6,6,7,7
69,0,0,5,10,7,6,5,6,7
70,5,4,4,10,7,7,6,5,6
71,8,6,9,10,8,10,6,7,6
72,0,4,5,10,7,0,6,5,6
73,5,5,5,10,7,7,7,7,8
74,9,7,8,10,7,9,9,7,7
75,7,5,6,10,7,5,7,4,5
76,8,9,8,10,8,10,8,7,6
77,5,6,5,8,7,6,7,5,5
78,7,6,7,10,7,7,7,7,4
79,0,5,5,10,7,5,6,6,9
80,5,5,4,10,6,6,6,5,5
81,7,5,5,10,7,7,7,7,7
82,9,6,7,10,10,7,7,7,7
83,9,6,6,10,7,10,7,7,9
84,8,6,6,10,10,8,7,6,7
85,7,6,5,10,8,9,7,6,7
86,9,6,7,10,7,8,7,6,6
87,8,7,8,10,7,9,8,6,6
88,4,4,5,9,7,5,6,5,6
89,7,5,6,10,7,7,6,6,7
90,5,6,5,9,9,5,7,6,7
91,5,5,6,10,10,7,7,6,9
92,5,5,5,10,6,5,6,5,5
93,6,6,6,10,8,8,7,5,7
94,7,5,6,10,8,6,7,5,5
95,8,6,6,10,8,10,7,6,7
96,7,6,8,10,8,9,7,6,6
97,10,8,8,10,9,9,8,5,6
98,5,6,6,10,7,9,7,8,8
99,7,7,6,10,7,10,7,7,7
100,7,5,6,10,8,5,6,0,5
101,10,5,6,10,8,7,6,5,4
102,7,5,6,10,10,7,6,6,6
103,8,6,6,10,9,9,7,5,5
104,7,5,6,9,7,8,6,4,6
105,6,5,5,8,7,8,6,6,7
106,7,6,5,9,7,6,7,5,5
107,4,4,6,10,8,5,6,5,5
