NO.,CS202,IT202,IT204,HS200,MA202,CS208,IT232,IT234
1,0,0,7,5,7,5,7,6
3,6,8,9,7,10,9,10,10
5,6,8,7,8,10,8,10,9
6,5,0,6,7,10,6,10,10
7,6,6,7,7,10,8,10,10
8,0,6,6,5,6,6,10,9
9,0,0,6,5,8,6,10,9
10,0,0,6,5,6,5,9,9
11,8,7,9,8,9,8,10,10
13,4,0,6,5,8,5,10,8
15,7,0,9,6,10,7,10,10
16,7,6,8,6,10,6,10,10
17,0,0,9,7,8,6,10,10
18,0,0,0,0,0,0,7,7
19,6,0,7,6,8,5,10,9
20,9,6,9,7,9,7,9,10
21,0,0,6,5,5,5,10,10
22,6,6,7,8,9,8,10,10
23,7,6,9,7,9,7,8,9
24,0,0,7,5,6,0,9,8
25,0,5,6,6,6,5,7,7
26,9,6,10,10,10,8,10,10
30,5,5,7,6,7,5,9,10
32,5,0,0,0,0,0,9,7
33,5,0,6,7,8,6,10,9
34,0,0,0,0,0,0,9,6
35,5,6,7,6,9,7,10,10
36,0,0,0,0,6,0,8,7
37,8,6,7,7,10,7,10,10
38,6,6,8,6,7,5,10,10
39,7,6,9,7,7,7,10,10
40,5,6,6,6,6,5,10,9
41,0,0,0,0,5,0,7,8
42,7,7,7,7,9,7,10,9
43,5,5,8,7,9,7,10,10
44,6,6,7,7,10,7,10,9
45,0,0,7,5,9,6,9,8
46,0,0,5,4,0,0,7,7
48,6,6,5,5,7,0,9,7
49,0,0,5,4,7,5,10,7
50,0,0,0,0,0,0,8,6
52,7,6,9,10,10,7,10,8
53,6,6,8,6,10,8,10,10
54,6,0,6,6,10,6,8,10
55,6,0,6,6,8,6,10,9
56,7,7,7,7,10,7,10,9
57,8,7,9,9,10,8,10,9
58,6,0,6,6,6,0,10,9
59,0,0,0,0,5,5,10,7
60,5,5,5,5,7,7,10,8
61,0,0,0,0,6,0,7,6
62,0,0,0,0,5,0,7,7
65,6,5,6,7,7,6,8,5
66,6,6,8,8,7,7,10,8
67,6,6,6,6,7,6,9,6
68,5,5,6,5,4,5,8,5
69,5,0,6,0,0,0,8,10
70,0,0,5,5,5,5,7,7
71,7,9,10,9,9,7,7,9
72,0,0,6,6,0,0,10,8
73,5,5,8,6,7,5,8,10
74,6,9,9,8,10,7,8,7
75,0,0,0,5,6,4,8,7
76,8,9,9,7,10,7,9,8
77,5,6,5,6,5,5,8,6
78,5,6,7,7,7,7,7,6
79,0,0,5,5,0,0,7,9
80,0,0,0,5,6,0,8,8
81,0,0,0,5,5,0,6,7
82,7,6,6,6,7,5,8,8
83,5,6,8,8,9,6,10,10
84,5,6,6,7,9,5,9,8
85,6,5,7,5,7,6,9,8
86,5,7,9,5,7,6,8,8
87,7,6,7,7,10,6,8,8
88,5,5,5,5,4,5,6,6
89,5,5,5,6,6,5,7,7
90,4,0,5,5,4,4,7,7
91,4,5,5,6,6,5,10,7
92,4,5,5,6,5,5,7,5
93,6,6,7,6,8,5,9,7
94,5,7,6,7,6,5,7,7
95,7,6,7,6,8,6,8,9
96,5,6,6,7,6,5,10,8
97,8,7,8,8,10,6,9,8
98,4,5,6,6,7,6,10,9
99,6,5,7,5,7,6,9,10
101,5,6,5,5,8,4,8,7
102,6,7,6,6,5,5,7,8
103,5,6,7,7,7,5,10,8
104,5,5,6,6,7,5,8,7
105,5,5,5,5,9,6,10,7
106,4,6,6,5,5,5,8,7
107,0,0,5,5,0,0,7,6
108,5,5,6,4,0,0,7,6
