NO.,HS300,CS304,IT304,IT306,IT364,IT302,IT332,IT334,IT352,IT366
1,5,0,4,5,0,5,7,9,4,
2,7,6,0,7,,6,6,9,5,5
3,8,9,7,9,,9,10,10,7,7
5,7,9,7,10,7,6,9,10,6,
6,7,7,6,7,6,7,8,10,6,
7,7,9,6,9,,7,10,9,7,7
8,7,5,6,8,5,0,6,8,5,
9,6,6,5,8,,5,6,8,6,6
10,6,0,6,7,,6,8,10,5,5
11,9,8,7,10,6,8,9,8,7,
12,6,5,0,5,0,0,6,8,6,
13,7,6,7,7,,0,9,10,6,6
15,7,7,9,8,,5,10,9,6,5
16,8,6,8,9,,7,10,10,7,5
17,7,7,8,10,,7,10,10,8,6
19,7,8,7,8,6,6,7,10,6,
20,7,8,7,8,,6,10,10,7,7
21,7,0,0,7,5,6,7,10,6,
22,7,7,7,9,,7,7,9,6,7
23,7,7,6,9,6,7,7,10,6,
24,7,6,6,6,5,7,7,7,6,
25,7,5,7,7,,6,8,9,6,6
26,8,8,9,10,7,8,10,10,6,
28,4,,0,0,0,0,6,7,4,
30,7,7,6,7,6,6,10,10,6,
31,7,7,5,6,6,6,9,9,7,
33,7,7,7,8,6,6,8,10,7,
34,7,7,6,8,,7,10,8,6,5
35,6,7,8,9,,7,10,8,6,6
36,6,6,5,0,,0,10,8,5,5
37,7,8,9,10,,7,7,9,7,7
38,6,7,7,9,6,5,7,8,6,
39,6,5,6,6,,5,10,9,7,5
40,7,0,6,6,,0,10,7,6,5
41,5,0,0,5,0,0,6,7,4,
42,8,9,9,10,,7,10,9,6,8
43,7,7,9,8,8,6,8,9,6,
44,7,7,7,9,6,7,10,9,6,
45,5,6,5,7,5,6,7,7,6,
46,7,5,6,7,5,5,8,8,5,
48,6,5,6,7,5,4,6,8,6,
49,6,5,0,7,5,0,10,9,7,
51,0,,0,5,0,0,6,8,5,
52,8,6,8,9,7,7,10,10,7,
53,7,7,7,7,,7,10,10,7,7
54,7,8,7,7,6,6,10,10,5,
55,6,6,7,7,,5,10,9,6,5
56,5,7,6,7,5,0,10,8,6,
57,9,10,9,10,7,7,10,9,7,
58,5,7,0,9,,0,10,8,6,7
59,6,6,6,7,,6,9,8,6,5
60,0,0,0,6,0,0,6,7,6,
61,0,5,0,5,,0,6,6,5,0
62,0,5,5,6,0,5,9,7,6,
65,6,5,5,5,,4,6,10,5,5
66,7,7,7,7,,9,8,10,5,5
67,6,5,5,6,,7,5,8,6,5
68,7,5,0,0,5,5,4,7,5,
69,0,5,0,0,,4,0,7,4,0
70,6,5,0,5,5,5,5,7,5,
71,7,7,6,10,,8,7,10,6,8
72,5,0,5,7,,6,7,9,5,5
73,5,5,5,7,6,9,8,10,6,
74,8,7,6,8,,9,8,10,6,6
75,0,4,0,5,,5,0,8,4,4
76,8,8,7,8,,9,10,10,7,6
77,8,5,6,6,,5,6,9,5,6
78,8,6,6,7,,6,6,9,6,5
79,0,0,0,5,,0,,,0,4
80,0,0,0,0,,4,,,4,4
81,0,0,0,5,,0,,,4,4
82,7,5,5,6,,7,7,10,6,5
83,6,7,5,7,,7,8,10,6,5
84,6,5,5,6,,7,7,10,6,5
85,6,7,6,6,,7,6,9,7,5
86,7,6,6,7,,6,6,9,5,7
87,8,6,6,6,,7,6,10,5,5
88,5,4,0,5,,4,5,8,6,5
89,6,6,6,5,,6,7,9,6,5
90,6,0,6,5,5,5,5,8,5,
91,5,0,0,0,,5,5,7,6,5
92,5,0,5,5,,6,6,8,6,6
93,7,6,6,6,,7,6,9,5,5
94,6,4,6,7,,5,6,8,5,5
95,8,6,6,7,,7,7,10,6,5
96,6,5,6,6,,5,7,9,6,5
97,9,7,9,9,7,9,8,10,6,
98,5,5,5,5,5,7,5,7,6,
99,6,6,5,5,,6,5,8,6,5
101,7,5,6,6,,5,6,9,6,5
102,6,5,5,6,5,5,5,9,4,
103,8,6,6,7,,7,5,9,6,6
104,7,6,5,8,,6,6,9,6,6
105,6,5,5,0,6,5,6,9,5,
106,5,5,5,5,5,7,6,9,5,
107,4,5,5,5,,5,5,8,5,4
108,5,4,5,6,,5,5,8,5,5
