NO.,ma_internals,ph100_internals,be10105_internals,be110_internals,be103_internals,ec100_internals,ph110_internals,ec110_internals,cs110_internals
1,25,23,35,96,36,30,86,85,75
2,41,46,47,92,40,37,97,87,98
3,47,50,47,74,46,50,97,86,97
5,31,41,42,78,42,43,94,97,87
6,45,46,40,82,41,39,93,95,98
7,46,47,48,79,45,47,95,94,97
8,25,40,37,79,37,40,96,88,94
9,31,34,35,68,38,38,95,91,93
10,24,24,38,80,41,32,83,83,94
11,43,47,45,83,50,49,96,98,95
12,36,39,35,85,38,32,93,81,91
13,33,42,46,83,39,35,95,92,82
15,48,45,48,95,49,33,94,84,94
16,44,49,50,93,44,48,96,87,90
17,46,46,50,93,47,41,97,92,98
18,Absent ,23,38,68,37,25,87,81,94
19,43,38,40,95,38,47,89,83,91
20,42,48,50,91,47,41,87,91,99
21,30,38,38,77,36,39,95,87,94
22,44,42,45,89,38,43,89,83,93
23,36,47,50,95,44,43,97,96,97
24,26,29,40,68,40,41,93,83,97
25,27,27,42,81,41,27,85,79,87
26,48,43,46,84,44,48,95,93,96
28,27,29,38,61,36,28,85,72,82
30,41,43,38,80,38,36,93,89,92
31,33,39,37,73,38,35,86,90,79
32,Absent ,23,35,72,35,28,88,78,87
33,45,39,47,92,40,34,87,86,91
34,23,27,38,72,38,29,92,78,94
35,32,34,38,66,42,34,89,91,88
36,32,36,38,74,39,37,90,86,89
37,45,50,48,84,44,50,98,98,88
38,37,50,45,68,39,44,96,93,91
39,45,43,42,94,40,41,93,96,88
40,38,42,41,78,38,37,96,86,91
41,23,26,38,83,38,40,96,87,84
42,46,45,43,79,43,47,97,98,91
43,43,42,40,93,40,43,96,89,89
44,46,47,45,82,37,50,97,89,89
45,46,39,46,84,39,41,95,90,96
46,26,35,38,81,37,29,97,81,85
48,40,49,38,78,37,41,94,89,81
49,29,29,44,91,37,30,88,88,96
50,24,30,39,69,40,36,86,80,92
51,26,29,38,78,39,32,89,84,75
52,41,44,42,94,45,48,97,91,95
53,46,46,49,94,48,47,97,97,95
54,39,43,43,84,46,47,97,97,97
55,37,39,46,80,41,44,96,92,95
56,50,48,45,93,40,41,96,97,94
57,45,46,42,95,41,50,96,98,90
58,33,36,36,88,38,39,92,94,81
59,26,39,40,89,36,34,91,86,89
60,36,33,40,90,39,40,95,90,87
61,31,25,42,63,35,26,88,72,82
62,27,25,38,80,35,35,78,88,81
