NO.,CY100_internals,BE100_internals,EE100_internals,CY110_internals,EE110_internals,MA102_internals,BE102_internals,CS100_internals,CS120_internals
1,24,28,23,92,88,23,80,27,75
2,33,35,30,100,89,37,92,37,78
3,47,46,48,99,89,46,97,41,92
5,47,45,46,99,95,42,99,34,81
6,35,37,41,98,90,35,89,36,92
7,43,39,36,98,80,38,91,46,98
8,31,34,27,97,92,28,91,30,63
9,40,29,34,99,86,31,84,34,72
10,27,39,23,100,91,24,91,26,56
11,45,42,44,98,94,46,94,40,96
12,30,31,24,99,89,23,78,30,72
13,41,38,35,96,94,29,92,37,81
15,41,46,42,98,95,42,90,39,84
16,46,47,46,96,96,43,94,44,96
17,36,47,39,98,93,36,95,40,94
18,23,27,23,93,79,23,87,25,75
19,41,40,33,100,89,35,97,33,81
20,42,43,42,97,94,30,91,40,87
21,33,25,40,95,93,35,84,30,72
22,41,38,36,100,82,31,91,42,92
23,38,32,37,99,83,39,89,44,100
24,39,41,26,99,93,23,90,30,84
25,29,37,27,96,83,24,89,30,92
26,40,42,41,100,91,39,92,45,87
28,24,23,23,95,78,23,77,25,72
30,33,40,39,95,93,31,88,33,92
31,23,38,23,100,95,28,91,32,92
32,23,26,23,96,74,-,90,25,54
33,35,44,30,98,87,29,92,42,92
34,33,31,23,96,84,23,83,31,87
35,40,35,34,99,89,36,92,30,92
36,37,34,29,100,91,23,85,30,72
37,46,44,35,100,96,38,96,46,98
38,31,33,34,94,88,25,83,41,92
39,41,47,35,100,92,32,88,45,98
40,37,39,30,97,89,29,89,32,72
41,30,32,23,97,90,24,86,32,66
42,42,45,36,99,94,37,95,44,94
43,40,49,38,98,91,42,89,35,92
44,42,46,45,96,94,42,89,39,98
45,34,32,29,95,90,33,87,41,96
46,-,32,23,100,92,23,76,25,92
48,30,33,23,94,91,23,85,25,51
49,32,42,30,96,90,27,84,41,92
50,28,29,23,94,85,23,87,26,51
51,25,30,23,96,87,23,74,26,63
52,42,48,45,98,94,35,87,38,78
53,42,44,43,99,91,30,81,41,100
54,40,34,41,99,93,40,90,37,94
55,36,34,39,98,94,37,82,37,98
56,46,46,42,98,93,36,87,37,94
57,42,33,48,100,96,40,89,40,94
58,34,42,35,94,91,34,91,32,72
59,27,34,23,96,69,23,70,25,92
60,32,35,28,100,96,23,85,32,54
61,23,25,23,94,78,23,71,25,72
62,28,33,26,94,94,23,77,31,63
