NO.,CS202_internas,IT202_internals,IT204_internals,HS200_internals,MA202_internals,CS208_internals,IT232_internals,IT234_internals
1,25,29,31,25,29,32,76,68
2,35,37,44,23,32,32,93,85
3,48,47,45,44,49,50,97,97
5,40,46,40,41,46,45,97,85
6,34,43,42,40,45,37,98,90
7,41,43,44,38,44,44,96,94
8,36,37,35,29,26,36,92,88
9,33,38,41,32,35,37,90,87
10,32,35,39,26,26,31,87,85
11,46,45,49,43,43,50,98,95
12,30,37,35,23,30,28,79,81
13,27,30,42,25,28,28,90,81
15,39,45,50,29,48,43,90,92
16,39,42,49,40,48,40,93,97
17,38,45,50,38,42,38,91,97
18,25,25,26,23,17,30,77,75
19,42,43,46,41,40,38,90,88
20,44,44,47,42,42,44,88,96
21,32,37,43,29,27,31,91,94
22,40,41,42,39,44,42,97,95
23,35,38,46,38,42,46,82,87
24,32,35,37,28,27,30,86,83
25,34,30,41,30,34,30,75,79
26,46,48,49,45,39,43,98,96
28,23,24,33,23,23,30,74,67
30,35,33,38,29,33,31,88,93
31,31,33,31,29,-,28,88,88
32,32,33,24,23,19,30,89,77
33,42,38,43,38,34,46,95,87
34,23,15,25,23,-,30,85,66
35,46,36,42,36,42,38,95,92
36,33,24,30,-,33,28,84,74
37,48,45,43,39,42,45,92,92
38,37,37,43,31,41,36,93,90
39,37,39,44,34,37,37,98,92
40,31,36,37,30,32,35,90,87
41,28,24,27,24,29,28,77,82
42,45,42,43,35,39,40,96,87
43,40,46,44,37,40,40,97,94
44,36,39,39,34,47,42,94,86
45,30,30,42,28,34,37,87,83
46,32,31,26,23,40,28,72,73
48,29,27,32,23,27,28,86,70
49,30,35,34,23,26,31,92,73
50,23,14,23,15,12,20,80,63
51,27,26,30,23,23,28,81,71
52,41,44,48,38,45,43,97,83
53,39,43,48,35,44,48,98,94
54,36,37,41,30,39,42,82,94
55,41,43,47,34,39,41,97,89
56,44,44,45,33,41,35,93,85
57,43,44,49,37,42,44,98,89
58,39,36,41,36,28,40,95,88
59,33,28,38,36,34,30,92,79
60,29,35,39,25,33,38,92,84
61,24,23,26,23,25,30,71,67
62,26,36,30,24,23,30,79,77
