NO.,CS305_internals,IT301_internals,IT303_internals,IT305_internals,IT307_internals,IT341_internas,IT331_internals,IT333_internals,IT367_internals,IT363_internals
1,31,37,23,27,26,93,70,66,-,30
2,39,43,30,35,33,95,83,88,-,38
3,50,47,45,47,45,93,95,96,-,50
5,48,46,43,46,38,91,85,87,47,-
6,46,44,40,45,34,93,85,87,40,-
7,47,44,35,43,40,96,93,93,-,50
8,40,45,32,29,28,95,80,83,37,-
9,37,44,37,30,31,90,80,85,-,33
10,33,39,30,29,29,98,81,78,-,29
11,49,46,36,47,43,96,86,90,46,-
12,28,37,27,31,28,96,71,76,40,-
13,29,39,31,39,30,98,86,95,-,34
15,48,43,32,42,41,93,93,98,43,-
16,46,47,44,45,46,98,90,97,-,50
17,45,48,31,46,49,98,90,96,-,45
19,46,46,31,41,38,91,85,82,41,-
20,48,46,39,42,43,96,93,91,-,46
21,40,42,34,31,33,91,90,84,43,-
22,42,42,34,42,43,98,85,82,-,43
23,48,44,38,43,33,94,85,80,-,40
24,43,41,29,39,35,91,90,82,42,-
25,39,43,32,42,31,90,92,84,-,40
26,50,47,43,45,44,95,97,93,49,-
28,30,32,23,33,26,86,60,73,28,-
30,46,43,41,39,36,93,85,82,43,-
31,38,43,36,38,35,98,87,88,41,-
33,42,43,29,40,35,96,80,83,-,36
34,38,40,26,40,26,86,75,65,40,-
35,46,44,40,36,34,98,90,97,-,50
36,36,36,27,36,28,95,80,74,35,-
37,48,45,38,42,40,91,90,96,-,36
38,42,43,33,37,30,94,76,77,45,-
39,40,38,38,42,35,93,90,97,41,-
40,31,40,39,35,43,93,80,77,-,40
41,33,37,25,24,28,98,66,75,25,-
42,50,46,45,40,43,91,91,85,-,45
43,47,44,39,42,43,94,93,86,-,32
44,46,43,38,43,38,94,91,86,-,37
45,37,41,34,34,34,98,86,88,39,-
46,33,35,24,39,30,96,73,66,32,-
48,29,32,23,24,26,98,63,73,33,-
49,31,41,25,29,35,86,75,73,34,-
51,26,31,24,28,26,98,64,76,30,-
52,49,45,38,45,36,93,87,93,41,-
53,41,44,29,46,36,98,91,99,-,50
54,40,44,33,43,38,91,95,92,35,-
55,46,40,44,43,38,93,91,97,-,42
56,47,43,38,39,30,91,87,91,44,-
57,50,45,48,47,40,95,94,96,47,-
58,41,41,37,36,33,98,80,84,-,42
59,40,39,34,42,34,93,90,87,31,-
60,41,43,30,34,31,98,75,85,37,-
61,28,33,29,31,28,95,70,70,29,-
62,34,40,34,30,31,93,77,77,38,-
